;Nom de la structure;Commune;Domaine;Nombre de repas par jour;Type de restauration;x;y
0;Collège René Guy Cadou (Montoir-de-Bretagne);Montoir-de-Bretagne;Education;278;Production et consommation sur place;47.330126;-2.1516168
1;Collège Arthur Rimbaud;Donges;Education;272;Production et consommation sur place;47.3260813;-2.0737197
2;Collège Saint Jean Baptiste (Guérande);Guérande;Education;1900;Production pour consommation sur place et livraisons à des restaurants satellites;47.3264227;-2.4318731
3;Bois Rochefort;Guérande;Education;237;Production et consommation sur place;47.331949;-2.4281883
4;Collège Jacques Brel;Guérande;Education;559;Production et consommation sur place;47.3364685;-2.4151937
5;Lycée Olivier Guichard;Guérande;Education;353;Production et consommation sur place;47.34116635;-2.42284986154971
6;Collège du Pays Blanc;Guérande;Education;326;Production et consommation sur place;47.3384477;-2.4335625
7;Ecole René Guy Cadou;Herbignac;Education;180;Production et consommation sur place;47.4473908;-2.3125796
8;Ecole Marie Pape-Carpantier;Herbignac;Education;180;Production et consommation sur place;47.4471383;-2.3241288772935773
9;Ecole primaire Le Bois Robin;La Baule-Escoublac;Education;130;Production et consommation sur place;47.2955519;-2.3554519
10;Collège Eric Tabarly;La Baule-Escoublac;Education;477;Production et consommation sur place;47.2770714;-2.3319338
11;Collège / Lycée Grand Air;La Baule-Escoublac;Education;774;Production et consommation sur place;47.2874102;-2.3743965
12;Le Pradonnais;Guérande;Education;210;Production et consommation sur place;47.3354354;-2.4279103
13;Restaurant Scolaire La Madeleine;Guérande;Education;350;Production et consommation sur place;47.3552703;-2.3645589
14;Collège Saint Martin;Pontchâteau;Education;650;Production et consommation sur place;47.43515971575489;-2.085994337316156
15;Collège Frida Kahlo;Pontchâteau;Education;554;Production et consommation sur place;47.431785;-2.0832764
16;Collège / Lycée Queral Des Trois Rivières;Pontchâteau;Education;535;Production et consommation sur place;47.4446641;-2.0975768
17;Saint Joseph (Herbignac);Herbignac;Education;1500;Production et consommation sur place;47.4479994;-2.320166948452416
18;Lycée Galilée;Guérande;Education;550;Production et consommation sur place;47.3231551;-2.4177302
19;Ecole du Pouligou;Pornichet;Education;470;Production et consommation sur place;47.2497675;-2.3071785
20;Le Sacré Coeur;Pornichet;Education;395;Production et consommation sur place;47.26487855;-2.342890132734861
21;Collège et Lycée Gabriel Deshayes;Saint-Gildas-des-Bois;Education;1200;Production et consommation sur place;47.5177836;-2.0410126
22;Restaurant Scolaire Municipal;Saint-Malo-de-Guersac;Education;250;Production et consommation sur place;47.3530723;-2.177739
23;Lycée Notre Dame d'Espérance;Saint-Nazaire;Education;600;Production et consommation sur place;47.2747821;-2.2079495
24;Lycée Saint-Louis;Saint-Nazaire;Education;900;Production et consommation sur place;47.2582026;-2.224881
25;OGEC Saint-Nazaire Saint-Gohard;Saint-Nazaire;Education;600;Production pour consommation sur place et livraisons à des restaurants satellites;47.2800005;-2.2089118
26;Collège Albert Vincon;Saint-Nazaire;Education;375;Production et consommation sur place;47.2551345;-2.2596655
27;Collège Pierre Norange;Saint-Nazaire;Education;124;Production et consommation sur place;47.26630646184061;-2.2460147892128464
28;Lycée Aristide Briand - Brossaud-Blancho;Saint-Nazaire;Education;2100;Production et consommation sur place;47.273533238753714;-2.232931145901035
29;Collège Anita Conti;Saint-Nazaire;Education;484;Production et consommation sur place;47.27055659578743;-2.232771799505299
30;Collège / Lycée Jean Moulin André Boulloche;Saint-Nazaire;Education;447;Production et consommation sur place;47.286141;-2.224256478403949
31;Lycée Sainte-Anne;Saint-Nazaire;Education;600;Production et consommation sur place;47.2753035;-2.234277770337676
32;Collège Jacques Prévert;Herbignac;Education;409;Production et consommation sur place;47.4436553;-2.327661407425521
33;Lycée Heinlex;Saint-Nazaire;Education;80;Production et consommation sur place;47.2636125;-2.263021209132974
34;Ecole Victor Hugo;Le Pouliguen;Education;40;Production et consommation sur place;47.2749835;-2.4339947
35;Collège Jules Verne (Le Pouliguen);Le Pouliguen;Education;136;Production et consommation sur place;47.2669505;-2.4333431
36;Collège René Char;Saint-Joachim;Education;237;Production et consommation sur place;47.382333;-2.1916807
37;Collège La Fontaine;Missillac;Education;258;Production et consommation sur place;47.4724547;-2.1475348
38;Ecole Marie Curie;Trignac;Education;180;Production et consommation sur place;47.3197484;-2.1880959
39;Collège Julien Lambot;Trignac;Education;345;Production et consommation sur place;47.3005309;-2.1953375
40;Ecole Jean Jaurès;Montoir-de-Bretagne;Education;270;Production et consommation sur place;47.3302658;-2.1449032
41;Ecole La Robe Blanche;Saint-Molf;Education;125;Production et consommation sur place;47.39321119201383;-2.4242797004400853
42;Restaurant Scolaire Municipal;Saint-Molf;Education;200;Production et consommation sur place;47.39656070796983;-2.4251074691583856
43;Ecole primaire Jules Verne;La Turballe;Education;270;Production et consommation sur place;47.34301211737405;-2.5003754599266625
44;Lycée Expérimental;Saint-Nazaire;Education;50;Production et consommation sur place;47.2730335;-2.2039296
45;Ecole Hélène Cadou;Mesquer;Education;115;Production et consommation sur place;47.39927089013677;-2.458423780156238
